uf,lat,lon
AC,-9.0238,-70.8120
AL,-9.5713,-36.7820
AM,-3.4168,-65.8561
AP,1.4120,-51.7738
BA,-12.5797,-41.7007
CE,-5.4984,-39.3206
DF,-15.7998,-47.8645
ES,-19.1834,-40.3089
GO,-15.8270,-49.8362
MA,-4.9609,-45.2744
MG,-18.5122,-44.5550
MS,-20.7722,-54.7852
MT,-12.6819,-56.9211
PA,-3.1190,-52.9540
PB,-7.2399,-36.7820
PE,-8.8137,-36.9541
PI,-7.7183,-42.7289
PR,-24.8932,-51.5554
RJ,-22.9099,-43.2095
RN,-5.4026,-36.9541
RO,-10.8390,-63.3397
RR,2.7376,-60.9824
RS,-30.0368,-51.2177
SC,-27.2423,-50.2189
SE,-10.5741,-37.3857
SP,-23.5505,-46.6333
TO,-10.1753,-48.2982
